"plant","calday","calmonth","billnum","billitem","material","netval","tax","qty","rpa_sat","timestamp"
M003,2021-01-01,202101,900391394,1,19657,769.17,153.83,1,923.00,2023-04-10 13:12:10.000
M004,2021-01-11,202101,900392150,1,107604955,45.83,9.17,1,55.00,2023-04-10 13:12:10.000
M008,2021-01-03,202101,900396044,1,662668,68.33,13.67,1,82.00,2023-04-10 13:12:10.000
M008,2021-01-03,202101,900396044,2,724390,176.67,35.33,1,212.00,2023-04-10 13:12:10.000
M010,2021-01-04,202101,900400820,1,17615,1618.33,323.67,2,1942.00,2023-04-10 13:12:10.000
M010,2021-01-04,202101,900400820,2,17618,34.17,6.83,1,41.00,2023-04-10 13:12:10.000
M010,2021-01-04,202101,900400820,3,20404,3416.67,683.33,1,4100.00,2023-04-10 13:12:10.000
M010,2021-01-04,202101,900400820,4,25392,14.17,2.83,1,17.00,2023-04-10 13:12:10.000
M010,2021-01-11,202101,900402623,1,19372,320.91,32.09,1,353.00,2023-04-10 13:12:10.000
M010,2021-01-11,202101,900402623,2,21017,23.33,4.67,1,28.00,2023-04-10 13:12:10.000
M010,2021-01-11,202101,900402623,3,25977,21.67,4.33,1,26.00,2023-04-10 13:12:10.000
M010,2021-01-11,202101,900402623,4,26703,35.00,7.00,1,42.00,2023-04-10 13:12:10.000
M010,2021-01-11,202101,900402623,5,30618,528.18,52.82,1,581.00,2023-04-10 13:12:10.000
M010,2021-01-11,202101,900402623,6,34391,592.50,118.50,3,711.00,2023-04-10 13:12:10.000
M010,2021-01-11,202101,900402623,7,35400,10.00,2.00,1,12.00,2023-04-10 13:12:10.000
M010,2021-01-11,202101,900402623,8,55147,75.83,15.17,1,91.00,2023-04-10 13:12:10.000
M003,2021-01-04,202101,900407270,1,1000004275,39.17,7.83,1,47.00,2023-04-10 13:12:10.000
M003,2021-01-04,202101,900407270,2,1000004292,64.55,6.45,1,71.00,2023-04-10 13:12:10.000
M003,2021-01-04,202101,900407270,3,1000004421,398.18,39.82,2,438.00,2023-04-10 13:12:10.000
M007,2021-01-01,202101,900411774,1,17617,22.00,4.00,1,27.00,2023-04-10 13:12:10.000
M014,2021-01-05,202101,900412698,1,1000036049,140.00,28.00,3,168.00,2023-04-10 13:12:10.000
M014,2021-01-05,202101,900412698,2,1000036077,75.83,15.17,1,91.00,2023-04-10 13:12:10.000
M014,2021-01-05,202101,900412698,3,1000036131,42.50,8.00,1,51.00,2023-04-10 13:12:10.000
M014,2021-01-05,202101,900412698,4,1000036137,121.67,24.33,2,146.00,2023-04-10 13:12:10.000
M003,2021-01-01,202101,900421200,1,105279571,93.33,18.67,4,112.00,2023-04-10 13:12:10.000
M003,2021-01-01,202101,900421200,2,106729705,1186.67,237.33,2,1424.00,2023-04-10 13:12:10.000
M011,2021-01-01,202101,900422381,1,7000009745,80.83,16.17,1,97.00,2023-04-10 13:12:10.000
M003,2021-01-04,202101,900424050,1,1000017392,36.67,7.33,1,44.00,2023-04-10 13:12:10.000
M003,2021-01-04,202101,900424050,2,1000017394,40.83,8.17,1,49.00,2023-04-10 13:12:10.000
M003,2021-01-04,202101,900424051,1,1000047945,1334.55,133.45,4,1468.00,2023-04-10 13:12:10.000
M003,2021-01-04,202101,900424051,2,1000047946,6.67,1.33,1,8.00,2023-04-10 13:12:10.000
M003,2021-01-04,202101,900424051,3,1000047953,31.67,6.33,1,38.00,2023-04-10 13:12:10.000
M003,2021-01-04,202101,900424051,4,1000047963,3140.83,628.17,1,3769.00,2023-04-10 13:12:10.000
M012,2021-01-02,202101,900424526,1,1000018963,335.00,67.00,1,402.00,2023-04-10 13:12:10.000
M012,2021-01-02,202101,900424526,2,1000018964,30.91,3.09,1,34.00,2023-04-10 13:12:10.000
M012,2021-01-02,202101,900424526,3,1000019032,667.50,133.50,3,801.00,2023-04-10 13:12:10.000
M012,2021-01-02,202101,900424526,4,1000019047,70.00,14.00,1,84.00,2023-04-10 13:12:10.000
M012,2021-01-02,202101,900424526,5,1000019048,1363.64,136.36,1,1500.00,2023-04-10 13:12:10.000
M013,2021-01-10,202101,900424813,1,1000015037,76.67,15.33,1,92.00,2023-04-10 13:12:10.000
M013,2021-01-10,202101,900424813,2,1000015044,3113.33,622.67,4,3736.00,2023-04-10 13:12:10.000
M013,2021-01-10,202101,900424813,3,1000015048,395.00,79.00,1,474.00,2023-04-10 13:12:10.000
M013,2021-01-10,202101,900424813,4,1000015351,22.00,4.00,3,27.00,2023-04-10 13:12:10.000
M010,2021-01-02,202101,900425402,1,1000038162,390.83,78.17,1,469.00,2023-04-10 13:12:10.000
M010,2021-01-02,202101,900425402,2,1000038227,56.36,5.64,1,62.00,2023-04-10 13:12:10.000
M010,2021-01-02,202101,900425402,3,1000038231,61.67,12.33,1,74.00,2023-04-10 13:12:10.000
M010,2021-01-02,202101,900425402,4,1000038235,82.50,16.00,1,99.00,2023-04-10 13:12:10.000
M010,2021-01-02,202101,900425402,5,1000038237,36.67,7.33,1,44.00,2023-04-10 13:12:10.000
M010,2021-01-02,202101,900425402,6,1000038244,78.18,7.82,1,86.00,2023-04-10 13:12:10.000
M010,2021-01-02,202101,900425402,7,1000038265,351.67,70.33,1,422.00,2023-04-10 13:12:10.000
M010,2021-01-02,202101,900425402,8,1000038314,16.67,3.33,2,20.00,2023-04-10 13:12:10.000
M010,2021-01-02,202101,900425402,9,1000038317,291.67,58.33,1,350.00,2023-04-10 13:12:10.000
M010,2021-01-02,202101,900425402,10,1000038335,76.67,15.33,1,92.00,2023-04-10 13:12:10.000
