address,z_address,bathrooms,bedrooms,finishedsqft,lastsolddate,lastsoldprice,latitude,longitude,neighborhood,totalrooms,usecode,yearbuilt,zestimate,zipcode
Address: 1160 Mission Street #2007,1160 Mission St UNIT 2007,2.0,2.0,1043.0,02/17/2016,1300000.0,37.778705,-122.412635,South of Market,4.0,Condominium,2007.0,1167508.0,94103.0
Address: 260 King Street #475,260 King St UNIT 475,1.0,1.0,903.0,02/17/2016,750000.0,37.777641,-122.393417,South of Market,3.0,Condominium,2004.0,823719.0,94107.0
Address: 560 Missouri Street #B,560 Missouri St # B,4.0,3.0,1425.0,02/17/2016,1495000.0,37.759198,-122.396516,Potrero Hill,6.0,Condominium,2003.0,1708594.0,94107.0
Address: 350 Missouri Street,350 Missouri St,3.0,3.0,2231.0,02/17/2016,2700000.0,37.761886,-122.396769,Potrero Hill,10.0,SingleFamily,1927.0,2411236.0,94107.0
Address: 3658 Folsom Street,3658 Folsom St,3.0,3.0,1300.0,02/17/2016,1530000.0,37.740795,-122.413453,Bernal Heights,4.0,SingleFamily,1900.0,1918539.0,94110.0
Address: 156 Lowell Street,156 Lowell St,1.0,2.0,1250.0,02/17/2016,460000.0,37.710226,-122.446027,Crocker Amazon,5.0,SingleFamily,1924.0,703392.0,94112.0
Address: 735 Lakeview Avenue,735 Lakeview Ave,1.0,3.0,1032.0,02/17/2016,532000.0,37.718024,-122.460332,Oceanview,6.0,SingleFamily,1939.0,741715.0,94112.0
Address: 430 Capistrano Avenue,430 Capistrano Ave,1.0,2.0,1200.0,02/17/2016,1050000.0,37.725204,-122.439273,Mission Terrace,5.0,SingleFamily,1924.0,1023650.0,94112.0
Address: 4135 23rd Street,4135 23rd St,3.5,4.0,2700.0,02/17/2016,3500000.0,37.752602,-122.435011,Noe Valley,9.0,SingleFamily,1912.0,3604950.0,94114.0
Address: 440 Steiner Street,440 Steiner St,2.0,3.0,1854.1369997975999,02/17/2016,1500000.0,37.773237,-122.432302,Hayes Valley,7.0,Condominium,1890.0,1547314.0,94117.0
Address: 414 Somerset Street,414 Somerset St,1.0,3.0,1798.0,02/17/2016,848000.0,37.726252,-122.407649,Portola,6.606399421583944,SingleFamily,1953.0,933506.0,94134.0
Address: 300 Berry Street #813,300 Berry St UNIT 813,1.0,1.0,761.0,02/17/2016,1000000.0,37.773929,-122.39624,South of Market,4.0,Condominium,2008.0,931039.0,94158.0
Address: 370 Church Street #F,370 Church St APT F,1.0,1.0,780.0,08/12/2015,863000.0,37.765062,-122.429077,Eureka Valley - Dolores Heights - Castro,4.0,Condominium,1981.0,847894.0,94114.0
Address: 10 22nd Avenue,10 22nd Ave,5.0,5.0,5786.0,02/16/2016,4888000.0,37.787088,-122.481741,Lake,12.0,SingleFamily,1926.0,7159444.0,94121.0
