"material","asgrp","brand","matcateg","matdirec","txt"
128047,4104,15152,У,34,Восстановление картриджа HP 12A Q2612A <Нижний Новгород
177415,2261,11805,H,30,Тендер Журнал складского учета материалов 130070/КУ-522
219595,2261,11805,H,30,"Тендер Жалюзи вертикальные 6,4 м, 2 окна, каб. 709"
248819,996,21128,H,18,"Папка для тетрадей №1School,Феррари красная,А5,молния вокруг"
294075,1580,13633,H,35,Вешалка 7399СМ3 Набор из 3-х вешалок с картинкой СМЕШАРИКИ
333636,2261,11805,H,30,Тендер Пурифайер Ecotronic B20-U4L
373043,137,13284,H,6,"Ноутбук Lenovo IdeaPad G710 (59397886) 17,3/i3-4000/4/500/G720/W8"
413697,4029,15384,H,35,Конфеты Для дрессировки мужчин Орз-0253
450444,1722,12120,H,35,"Платформа изогнутая большая Big Curved Adhesive, AEE, арт. М08"
467658,2261,13633,H,30,"Тендер Зубной порошок Особый, 55гр."
493448,2261,13633,H,30,Тендер Бумага креп. 50*250см. Альт Цветная желтая
514311,2254,12434,H,48,"Вино д'Аренберг Стамп Джамп Лайтли Вудид Шардонне бел. Сух. 0,75"
530778,2094,13633,U,43,"Экструз пр-во BOPS Пленка BOPS (760х250) прозрачная 1,8 ОФ (1BS)"
535010,2432,11805,U,50,Термоформ. пр-во Емкость СМ-450 (0RM)
607842,957,13633,H,18,"Литература Атлас + К/К + зад. История России 20 -начало 21вв, 9кл 71659"
617507,618,11805,С,8,Сервис ED Форум/Статус/Консул Крышка Фр-6.0 дуб мол. В1945
637541,3480,13446,H,70,Домкрат гидравлический бутылочный 5т 216-413мм в пласт кейсе MATRIX (50756)
688000,1094,13633,H,22,Спец.одежда летняя с лог Костюм м л15-КПК ср/чрн к/пк 56-58 182-188 96606-9
705613,954,13633,С,17,"Сырье д/произ-ва Бумага облож СКБМ ф. 72см 80г цвет 8,2 зелен"
712092,3169,14283,H,72,"Ручка капиллярная STABILO Point88, цвет голубой 88/31"
731309,3906,14140,H,6,Жесткий диск SSD 2.5 250 Gb Samsung/MZ-75E250BW
760538,214,11835,И,7,Клавиатура A4 KD-600L черный USB Multimedia LED
772041,1093,13633,H,22,Спец.одежда летняя с лог Костюм муж л20-КБР сер/кр 56-58 182-188 102627-3
775519,3553,20938,H,16,"Подарки акций Стакан однораз. для хол/гор, 200 мл, бел., 100шт/уп (145594)"
801813,1616,13776,H,35,"Записная книжка Paperblanks Mahogany Midi лин.130x180мм,144с.PB4421-5"
831317,2238,15088,И,46,Тонер-картридж черный TK-8525K для TASKalfa 4052ci
841839,1085,13633,H,22,Спец.одежда зимняя с лог Костюм з02-КБР черн/сер 48-50 158-164 108240-1
863186,299,11805,H,8,Тендер Корпус тумбы PT_Арго АТ-07 ясень шимо
879645,3176,14283,D,72,"Ручка шариковая STABILO Liner F 808/41 0,38мм, синий"
886798,1258,11805,H,24,xИнд.заказ 110956-4 Табличка металлическая 4
912503,3791,13959,H,6,"Кабель REXANT /18-1007/ RJ-45вилка-RJ-45вилка, 5м(80088663)"
943996,781,26973,H,13,"Гирлянда Бахрома 4,8х0,6м,с мерц-ем,Белый ПВХ,176 Тёплых диодов 255-166"
973410,1102,13633,H,22,Халат рабочий Профессионал-1/у19-ХЛ вас/сер с лого(56-58)170-176
1017079,4156,31067,H,35,Качалка Лошадка красная арт.167000072
1033320,4607,13633,П,58,Наконечник штыревой втулочный изолированный НШвИ 0.75-8 (100 шт.в упак)
1095465,4666,14010,И,66,Опция Ricoh Adobe PostScript3 тип M37 IM C2000-C6000 (418407)
1096614,4113,13633,D,13,Лента для медалей 30 мм цвет Росиия сублимация  LN87
1099985,1021,13196,D,18,"Папка для рисования акварелью Kroyter А4,20л,блок 160гр  Джунгли 00050"
1112670,1026,13633,П,22,Сабо ЭВА (601/02М) р.45
1116704,2866,13633,H,64,"Термотрансферные этикетки полуглянец 101,6х50,8мм,вт.40,1000 шт/рул"
1160542,195,27317,S,7,Чехол iBox Crystal фиолетовый (УТ000019762) для Huawei Honor 8A
1208842,5004,13633,П,8,Мебель Аргентум Модуль двойной универсальный НТМП.ПО.Б2-120Эбел/бел
1237444,2829,13474,П,63,Кофемашина Melitta Caffeo F 570-101 Varianza CSP 1450Вт серебристый Екат
1242530,1258,11805,S,24,xИнд.заказ 132104-1 (Б) Рамка индивидуальная 1
1333131,871,31858,D,14,"Кофе STARBUCKS Pike Place Roast в зернах, средняя обжарка, 200г"
1390252,4566,13633,S,68,"Табличка знак Телефон для использования при пожаре F05 (200х200мм, Пластик)"
1390773,394,11805,С,8,Сервис BN_Y_EChair-711 TPU Ролики
1392835,2783,40721,И,62,Плед Cleo КАЛИФОРНИЯ велсофт полуторный 150x200 150/173-pf
1404592,1226,12935,V,15,Уценка Головка печатающая HP (C) 72 C9383A пурп./гол. для DgnJ T610/T1100
286890,609,13633,D,8,"Шкаф для сумок N_ШМ-12КХ-С, 12 ячеек, оргстекло 898х500х1862"
354172,2413,13633,H,50,Форм. пр-во давальч. Крышка 115х19 (Ю) (1000шт./уп)
377970,2261,11805,H,30,"Тендер Пленка Brother TZ-FX251 д/наклеек эластич,24х8мм д/RT-2430PC"
391973,2261,11805,H,30,Тендер Резинка банковская Erich Krause. D-80мм 100г.
439153,2261,11805,H,30,Краска /73347/ ПФ-115 черная TURY 12кг
451535,2402,13633,H,45,Пазл Кубик-развивайка.Птицы
468152,4017,14473,H,35,Рамка Fotobrick
546194,292,13633,H,8,Мебель для гостиниц MON_Премьер Шкаф для одежды ГМ26 ш.темн/светл Салон Спб
551827,3416,14289,H,63,Мини-печь Steba KB 23
282676,1240,21128,H,18,"Фломастер №1School,Tony&Bony,12цв"
553643,4104,15152,H,34,Восст.работоспособности НР СЕ390А + чип <Челябинск>
600969,2831,12171,H,63,Кофемашина Bosch Tassimo TAS4014EE
610703,3902,25260,H,6,Блок питания Seasonic 500W SS-500ES 80+ bronze (20+4pin) APFC 4xSATA_M_K
751429,2261,11805,H,30,Доп.заказ Строительные гвозди КРЕП-КОМП 4х100 черные ГОСТ 4028-63 5кг
778212,780,13633,H,13,"Электрогирлянда со светодиодами 2 м 10 led тепл. бел., 857-001"
802147,756,11999,H,11,Папка на 2-х О-кольцах Attache ПАНОРАМА 35мм
804250,4104,15152,У,34,Восстановление картриджа HP 312A CF380A (Партнер 378529 ИФЗ) <СПб
856590,618,11805,С,8,Сервис SH_Вегас 838711 Стенка задняя S75-01.F1 Орех Ренуар
857139,1249,15397,Q,18,"Фартук Ф 4-1 Ассорти тонкий 55359, 55399, 54664, 54259"
880733,3261,28269,H,76,"Пакет бумажный Магнит 115x45x740 (45П),3 цвета"
892839,1093,13633,H,22,Спец.одежда летняя с лог Костюм ж л12-КБР син/красн 44-46 158-164 111428-6
907954,4254,11805,H,42,"Дезинфицирующее средство для кондиционеров, 500 мл Bon BN-153"
908743,587,13633,H,8,СпецМеб_0MX_S /ЗД-126250/ Горизонтальные жалюзи 0225 белый 0.63x1.45
954949,4666,13181,H,66,Сетевая карта Konica-Minolta NC-504 (A4M3WY6)
1035147,693,11805,H,10,Штамп ТЦ Рубин PR55 макет 25160
1036852,2353,13633,R,35,Манишка спортивная (сетка) жел 196487
1080087,643,12162,П,9,"Увлажнитель воздуха Boneco S450, (горячий пар) цвет: черный/black"
1082832,5078,13633,R,52,"Очки солнцезащитные Sun ray, клас. Синий 10034501"
1096383,3471,12026,H,67,"Телевизор BBK 39LEM-1045/T2C, Ект + Члб лок. артикул"
1121880,3471,14140,H,67,Телевизор Samsung HG32EJ470
1136056,2058,11805,H,42,"Стекло предметное CП-7102,26х76мм,1мм б/о"
1140422,3429,13823,H,63,Машинка для снятия катышков Philips GC026/00 голубой
1147234,4392,35256,H,60,Шлюз VoIP-FXS Yeastar TA810
