"date","region","material","distr_chan","quantity","check_nm","check_pos"
2021-05-21,R004,"731499","1",3,"00000020210521023120","0000000001"
2021-05-20,R002,"1414603","1",5,"00000020210520011070","0000000003"
2021-03-07,R003,"1004454","1",9,"00000020210307016374","0000000004"
2021-05-23,R002,"1057184","1",2,"00000002021052301125","0000000005"
2021-07-13,R002,"788210","1",2,"00000020210713021305","0000000001"
2021-04-12,R003,"979657","2",2,"00000020210412011658","0000000002"
2021-03-30,R004,"638239","1",4,"00000002021033001643","0000000020"
2021-01-21,R004,"1270532","2",13,"00000020210121015962","0000000003"
2021-04-29,R002,"959683","1",4,"00000020210429015916","0000000002"
2021-04-06,R001,"221733","1",8,"00000020210406012408","0000000001"
2021-06-27,R004,"1146928","2",11,"00000020210627042717","0000000009"
2021-07-20,R004,"871768","1",6,"00000002021072002269","0000000001"
2021-02-09,R004,"194879","2",14,"00000002021020903356","0000000001"
2021-04-12,R004,"900573","2",3,"00000020210412014802","0000000001"
2021-03-29,R003,"194879","2",11,"00000020210329027312","0000000003"
2021-02-12,R004,"889863","1",15,"00000020210212016139","0000000004"
2021-02-01,R002,"719822","2",11,"00000020210201016219","0000000002"
2021-05-14,R004,"376584","2",11,"00000020210514016070","0000000007"
2021-02-06,R004,"376584","1",7,"00000020210206039339","0000000001"
2021-06-26,R002,"764928","2",20,"00000020210626031845","0000000006"
2021-02-06,R003,"1246107","1",19,"00000020210206017534","0000000001"
2021-05-19,R003,"1268008","2",11,"00000020210519016224","0000000001"
2021-06-22,R001,"429580","1",13,"00000020210622014959","0000000001"
2021-07-20,R001,"601059","1",2,"00000020210720032840","0000000004"
2021-04-05,R004,"808228","1",19,"00000002021040501931","0000000001"
2021-04-03,R002,"367201","2",7,"00000020210403017788","0000000001"
2021-06-21,R002,"644320","1",13,"00000020210621021270","0000000001"
2021-07-06,R003,"374998","1",5,"00000002021070601315","0000000001"
2021-03-31,R002,"977315","1",14,"00000020210331038749","0000000002"
2021-02-08,R002,"199593","2",15,"00000020210208017604","0000000004"
2021-05-10,R002,"386124","2",9,"00000020210510028657","0000000002"
2021-03-27,R001,"1177162","1",18,"00000020210327014864","0000000004"
2021-05-13,R003,"510686","2",7,"00000020210513019639","0000000001"
2021-02-16,R001,"1338539","1",13,"00000020210216029116","0000000005"
2021-07-02,R002,"1288661","1",6,"00000002021070203386","0000000003"
2021-03-10,R001,"990746","2",4,"00000020210310012403","0000000005"
2021-01-04,R003,"1177162","2",12,"00000020210104019300","0000000001"
2021-07-06,R002,"1422387","1",17,"00000002021070604452","0000000002"
2021-05-26,R003,"825612","1",11,"00000020210526017337","0000000002"
2021-04-19,R001,"1059945","1",20,"00000020210419044767","0000000002"
2021-02-17,R004,"1189925","2",5,"00000020210217015234","0000000001"
2021-05-20,R004,"768266","2",17,"00000020210520035557","0000000001"
2021-05-20,R003,"1103173","2",15,"00000002021052001496","0000000001"
2021-03-14,R001,"977610","1",20,"00000020210314049570","0000000003"
2021-01-13,R003,"1358913","1",4,"00000020210113087045","0000000003"
2021-02-28,R003,"659011","2",3,"00000020210228037674","0000000001"
2021-03-26,R004,"731309","2",5,"00000002021032608813","0000000002"
2021-02-23,R001,"425843","2",12,"00000020210223036988","0000000002"
2021-04-14,R001,"727126","1",6,"00000020210414029744","0000000002"
2021-01-29,R004,"705613","1",10,"00000020210129021273","0000000002"
2021-01-18,R002,"884961","1",12,"00000020210118019303","0000000002"
2021-03-25,R001,"1242587","1",10,"00000020210325033431","0000000001"
2021-06-18,R004,"1071035","2",7,"00000020210618019359","0000000001"
2021-01-26,R004,"1218448","1",20,"00000020210126018099","0000000005"
2021-06-10,R001,"1226515","2",14,"00000020210610024966","0000000001"
2021-04-28,R002,"769534","2",15,"00000020210428012071","0000000001"
2021-07-16,R002,"246335","1",18,"00000020210716012700","0000000008"
2021-03-17,R002,"1180494","2",20,"00000020210317015494","0000000001"
2021-04-04,R001,"606453","1",6,"00000020210404031833","0000000007"
2021-05-10,R001,"389227","2",17,"00000020210510027150","0000000002"
2021-04-06,R003,"818705","1",20,"00000020210406013682","0000000001"
2021-04-11,R003,"509861","2",6,"00000020210411029278","0000000002"
2021-04-20,R002,"1411759","2",10,"00000020210420018162","0000000001"
2021-05-18,R002,"21100","1",13,"00000000202105180137","0000000002"
2021-01-21,R004,"607842","1",16,"00000020210121016295","0000000003"
2021-02-27,R004,"877083","1",15,"00000020210227012555","0000000001"
2021-03-23,R003,"535699","2",2,"00000020210323011319","0000000003"
2021-05-03,R001,"622535","1",12,"00000002021050303928","0000000001"
2021-01-20,R004,"247862","1",14,"00000020210120032713","0000000002"
2021-02-17,R004,"637829","2",6,"00000020210217024647","0000000004"
2021-03-08,R002,"338827","2",15,"00000002021030801784","0000000002"
2021-01-09,R004,"812976","2",12,"00000020210109076913","0000000018"
2021-05-12,R004,"368141","1",20,"00000020210512022149","0000000005"
2021-05-25,R004,"1245515","2",14,"00000020210525029521","0000000001"
2021-07-26,R004,"525263","1",11,"00000020210726022716","0000000003"
2021-02-06,R004,"1218448","2",20,"00000020210206022757","0000000001"
2021-03-19,R002,"789820","2",17,"00000020210319027402","0000000001"
2021-04-03,R001,"520666","2",15,"00000020210403032290","0000000001"
2021-02-24,R001,"783430","1",7,"00000020210224029887","0000000004"
2021-01-17,R004,"719822","1",6,"00000020210117036187","0000000001"
2021-01-29,R003,"953897","2",12,"00000020210129015273","0000000003"
2021-01-12,R001,"928913","2",13,"00000020210112024925","0000000001"
2021-04-05,R003,"1335323","2",10,"00000020210405058043","0000000001"
2021-07-24,R004,"1107234","1",2,"00000020210724016634","0000000001"
2021-05-31,R002,"783430","1",19,"00000020210531012286","0000000001"
2021-01-05,R003,"1022978","1",8,"00000020210105019841","0000000002"
2021-03-23,R004,"1060297","1",20,"00000020210323011277","0000000006"
2021-07-20,R003,"1062120","1",8,"00000020210720035885","0000000001"
2021-04-29,R004,"648842","1",5,"00000020210429021446","0000000002"
2021-02-10,R003,"1117546","1",2,"00000002021021001987","0000000018"
2021-06-16,R001,"467067","2",9,"00000020210616012733","0000000004"
2021-07-22,R003,"342975","2",11,"00000002021072202250","0000000007"
2021-05-23,R001,"655389","2",3,"00000020210523057601","0000000003"
2021-02-07,R001,"372295","2",5,"00000020210207025541","0000000008"
2021-04-17,R003,"1278581","2",4,"00000020210417022863","0000000003"
2021-03-25,R003,"628760","1",18,"00000020210325012791","0000000006"
2021-06-14,R002,"662994","2",17,"00000020210614017006","0000000003"
2021-02-20,R003,"713928","1",1,"00000020210220018456","0000000001"
2021-05-12,R002,"525263","2",12,"00000020210512039918","0000000001"
2021-05-30,R001,"1119579","2",14,"00000020210530051501","0000000001"
2021-01-10,R004,"1034555","2",10,"00000020210110021729","0000000001"
2021-02-07,R002,"405117","2",20,"00000020210207016115","0000000001"
2021-04-02,R001,"740351","1",6,"00000002021040201731","0000000002"
2021-07-08,R002,"938978","2",17,"00000020210708021018","0000000002"
2021-01-25,R002,"374998","2",4,"00000020210125031899","0000000009"
2021-07-11,R001,"128636","2",6,"00000002021071101839","0000000001"
2021-01-22,R001,"330026","2",19,"00000020210122013563","0000000003"
2021-02-18,R004,"957512","1",1,"00000020210218014931","0000000001"
2021-02-01,R003,"818705","2",1,"00000020210201034443","0000000002"
2021-07-14,R001,"648842","1",10,"00000020210714043957","0000000002"
2021-06-22,R004,"1146928","1",13,"00000002021062201467","0000000005"
2021-06-30,R001,"745919","2",17,"00000020210630035413","0000000017"
2021-01-21,R004,"841839","2",16,"00000020210121079128","0000000002"
2021-04-19,R002,"696106","1",2,"00000020210419052928","0000000001"
2021-05-05,R004,"704844","1",14,"00000020210505018219","0000000001"
2021-05-06,R002,"437351","2",3,"00000020210506054409","0000000001"
2021-03-07,R001,"1392835","2",1,"00000020210307023607","0000000001"
2021-01-04,R001,"1215662","1",14,"00000002021010404468","0000000001"
2021-01-11,R001,"413697","2",12,"00000020210111019912","0000000003"
2021-01-17,R003,"554936","1",7,"00000020210117014021","0000000002"
2021-06-08,R003,"1128088","1",18,"00000020210608014163","0000000002"
2021-03-04,R004,"696106","2",3,"00000020210304018241","0000000001"
2021-06-03,R004,"813845","1",17,"00000020210603026365","0000000001"
2021-07-26,R004,"779912","2",3,"00000020210726019417","0000000010"
2021-01-18,R004,"952943","1",3,"00000020210118022786","0000000001"
2021-02-28,R003,"877557","2",3,"00000020210228085760","0000000005"
2021-02-19,R004,"841614","1",20,"00000020210219019111","0000000001"
2021-06-10,R003,"932392","2",13,"00000002021061001386","0000000001"
2021-01-24,R001,"1137889","2",7,"00000020210124017244","0000000001"
2021-06-02,R002,"778396","1",10,"00000020210602022825","0000000003"
2021-01-29,R002,"1130361","2",5,"00000020210129029286","0000000001"
2021-01-15,R004,"466833","2",8,"00000020210115038412","0000000001"
2021-03-24,R003,"842648","2",1,"00000002021032401213","0000000003"
2021-05-14,R002,"1093254","2",6,"00000020210514011570","0000000002"
2021-03-18,R004,"429197","1",7,"00000020210318026765","0000000004"
2021-01-16,R004,"1177162","1",1,"00000020210116022614","0000000006"
2021-02-11,R003,"1371149","2",5,"00000020210211082885","0000000002"
2021-04-08,R001,"1106497","1",20,"00000020210408032928","0000000001"
2021-06-30,R004,"1044810","1",1,"00000020210630011520","0000000001"
2021-03-24,R003,"762892","1",4,"00000020210324033143","0000000001"
2021-04-07,R004,"1004454","1",3,"00000020210407027627","0000000001"
2021-04-26,R004,"1193387","2",17,"00000002021042602517","0000000001"
2021-05-26,R003,"1198115","1",11,"00000020210526024249","0000000001"
2021-04-29,R001,"887946","2",1,"00000020210429021399","0000000001"
2021-05-27,R001,"1370946","2",11,"00000020210527032934","0000000004"
2021-06-08,R001,"1202718","2",9,"00000020210608016481","0000000002"
2021-05-04,R004,"1116325","2",20,"00000020210504118588","0000000002"
2021-04-21,R001,"456409","2",11,"00000020210421038833","0000000001"
2021-05-12,R003,"300997","1",12,"00000020210512022651","0000000012"
2021-03-02,R002,"654535","1",16,"00000020210302034036","0000000001"
2021-04-13,R001,"330759","1",10,"00000020210413019273","0000000001"
2021-03-02,R001,"391973","1",9,"00000020210302019680","0000000004"
2021-02-05,R001,"1138615","2",2,"00000020210205072368","0000000001"
2021-07-01,R001,"424839","2",17,"00000020210701035444","0000000001"
2021-02-18,R001,"1096383","2",18,"00000020210218072136","0000000004"
2021-02-11,R003,"372295","1",19,"00000020210211023245","0000000002"
2021-04-22,R004,"1197633","1",3,"00000020210422016398","0000000001"
2021-06-10,R004,"130088","1",6,"00000000202106100130","0000000001"
2021-02-28,R002,"1144297","2",10,"00000020210228018282","0000000002"
2021-03-25,R004,"874988","1",1,"00000020210325021737","0000000006"
2021-01-15,R003,"1036610","2",18,"00000020210115011780","0000000002"
2021-02-18,R001,"892839","1",1,"00000020210218017553","0000000002"
2021-04-09,R001,"330759","1",8,"00000020210409027694","0000000003"
2021-04-21,R004,"1008173","2",20,"00000020210421053240","0000000002"
2021-01-31,R003,"1270532","1",9,"00000020210131018523","0000000002"
2021-01-30,R004,"1407009","1",2,"00000020210130011769","0000000006"
2021-04-24,R004,"1283080","2",8,"00000020210424049695","0000000008"
2021-01-12,R003,"655389","2",12,"00000002021011201101","0000000003"
2021-01-10,R003,"916302","1",20,"00000020210110051530","0000000001"
2021-02-09,R002,"213575","1",15,"00000020210209036575","0000000001"
2021-06-10,R001,"1099985","1",8,"00000020210610019568","0000000004"
2021-05-14,R001,"990746","2",9,"00000020210514036698","0000000001"
2021-07-07,R002,"721468","1",12,"00000002021070701544","0000000001"
2021-06-16,R002,"714629","2",8,"00000020210616018387","0000000007"
2021-03-01,R001,"1277556","1",4,"00000020210301012856","0000000003"
